Режим подачи заявки,Порядок подачи заявки,Направление,Дневная/вечерняя форма обучения,Предыдущее образование,Предыдущее образование (оценка),Вступительный балл,Перемещенный,Образовательные специальные потребности,Пол,Возраст при зачислении,Получатель стипендии,Международный статус,Уровень безработицы,Уровень инфляции,ВВП
39,1,8014,0,1,130.0,131.5,0,0,0,27,0,0,11.1,0.6,2.02
1,1,9500,1,1,149.0,134.8,0,0,0,18,0,0,9.4,-0.8,-3.12
1,1,9853,1,1,163.0,146.6,1,0,0,18,0,0,9.4,-0.8,-3.12
7,1,8014,0,40,130.0,130.0,1,0,0,23,0,0,13.9,-0.3,0.79
1,6,9500,1,1,145.0,127.5,1,0,0,19,1,0,7.6,2.6,0.32
1,1,9147,1,1,130.0,123.0,0,0,0,18,0,0,15.5,2.8,-4.06
43,1,9500,1,1,128.0,100.0,1,0,0,20,0,0,13.9,-0.3,0.79
1,2,9670,1,1,111.0,114.2,1,0,0,18,0,0,12.4,0.5,1.79
1,1,9500,1,1,140.0,123.5,1,0,0,19,1,0,9.4,-0.8,-3.12
44,1,9238,1,39,140.0,144.3,1,0,0,19,1,0,12.4,0.5,1.79
1,1,9853,1,1,145.0,142.2,0,0,0,19,0,0,9.4,-0.8,-3.12
1,1,9085,1,1,151.0,161.9,0,0,0,18,0,0,7.6,2.6,0.32
1,1,9238,1,1,132.0,135.9,0,0,0,18,0,0,9.4,-0.8,-3.12
1,2,9773,1,1,116.0,110.1,1,0,0,18,0,0,11.1,0.6,2.02
2,1,9853,1,1,120.0,122.5,0,0,0,28,0,0,15.5,2.8,-4.06
17,1,9254,1,1,158.0,138.1,1,0,0,19,0,0,7.6,2.6,0.32
43,1,171,1,1,116.0,117.3,1,0,0,20,0,0,13.9,-0.3,0.79
1,2,9500,1,1,112.0,106.8,1,0,0,19,1,0,12.4,0.5,1.79
1,1,9070,1,1,126.0,120.1,0,1,0,20,1,0,11.1,0.6,2.02
1,2,9254,1,1,120.0,116.5,1,0,0,19,1,0,12.4,0.5,1.79
51,1,9070,1,1,117.0,120.0,1,0,0,21,0,0,8.9,1.4,3.51
1,1,9853,1,1,153.0,139.7,1,0,0,19,1,0,11.1,0.6,2.02
1,2,9070,1,1,124.0,123.7,1,0,0,18,1,0,13.9,-0.3,0.79
17,2,9130,1,1,127.0,116.5,0,0,0,19,0,0,15.5,2.8,-4.06
17,1,9670,1,1,126.0,122.2,0,0,0,19,1,0,8.9,1.4,3.51
1,1,9773,1,1,133.1,146.0,0,0,0,20,0,0,16.2,0.3,-0.92
17,2,9853,1,1,114.0,108.8,1,0,0,18,0,0,13.9,-0.3,0.79
43,1,171,1,1,133.0,133.0,0,0,0,18,0,0,15.5,2.8,-4.06
17,1,9130,1,1,130.0,123.8,0,0,0,18,0,0,7.6,2.6,0.32
17,3,9773,1,1,127.0,120.0,0,0,0,18,0,0,8.9,1.4,3.51
17,3,9238,1,1,143.0,126.9,1,0,0,18,0,0,7.6,2.6,0.32
18,4,9773,1,1,130.0,121.3,1,0,0,20,0,0,15.5,2.8,-4.06
17,3,9500,1,1,136.0,129.0,1,0,0,19,1,0,12.4,0.5,1.79
1,1,9853,1,1,125.0,114.9,1,0,0,21,0,0,15.5,2.8,-4.06
17,1,9670,1,3,110.0,106.5,1,0,0,20,0,0,10.8,1.4,1.74
1,1,9254,1,1,130.0,133.9,1,0,0,18,0,0,9.4,-0.8,-3.12
1,1,9773,1,1,135.0,124.9,0,0,0,20,1,0,10.8,1.4,1.74
1,2,9500,1,1,133.0,128.5,1,0,0,19,1,0,9.4,-0.8,-3.12
1,1,9085,1,6,122.0,126.2,1,0,0,22,0,0,9.4,-0.8,-3.12
17,1,9130,1,1,122.0,121.7,1,0,0,22,0,0,9.4,-0.8,-3.12
1,2,9853,1,1,121.0,120.0,1,0,0,18,0,0,10.8,1.4,1.74
43,1,9147,1,1,123.0,113.2,0,0,0,21,0,0,7.6,2.6,0.32
1,1,9238,1,1,128.0,120.3,1,0,0,19,0,0,7.6,2.6,0.32
1,4,171,1,1,139.0,127.8,1,0,0,19,0,0,10.8,1.4,1.74
1,2,9500,1,1,124.0,123.3,1,0,0,20,1,0,9.4,-0.8,-3.12
1,3,9500,1,1,135.0,126.3,1,0,0,18,1,0,15.5,2.8,-4.06
51,1,9991,0,42,110.0,128.2,0,0,0,22,0,0,8.9,1.4,3.51
17,4,9085,1,1,138.0,134.9,1,0,0,20,0,0,7.6,2.6,0.32
44,1,9003,1,39,140.0,140.0,0,0,0,19,0,0,12.4,0.5,1.79
1,5,9500,1,1,126.0,115.5,1,0,0,19,1,0,12.4,0.5,1.79
1,2,9500,1,1,113.0,106.7,1,0,0,20,1,0,11.1,0.6,2.02
39,1,9991,0,1,120.0,140.0,0,0,0,25,0,0,15.5,2.8,-4.06
1,1,9500,1,1,145.0,136.6,0,0,0,19,1,0,15.5,2.8,-4.06
18,1,9500,1,1,124.0,119.3,1,0,0,19,0,0,9.4,-0.8,-3.12
1,1,9070,1,1,160.0,152.0,1,0,0,19,0,0,10.8,1.4,1.74
1,1,9500,1,1,138.0,144.3,0,0,0,20,0,0,13.9,-0.3,0.79
39,2,9556,1,1,130.0,159.0,1,0,0,25,0,0,12.4,0.5,1.79
17,1,9500,1,1,127.0,129.5,1,0,0,20,1,0,7.6,2.6,0.32
39,1,9238,1,1,170.0,140.0,1,0,0,24,0,0,9.4,-0.8,-3.12
1,3,9670,1,1,111.0,105.4,0,0,0,20,0,0,7.6,2.6,0.32
42,1,9500,1,1,100.0,136.0,1,0,0,21,0,0,15.5,2.8,-4.06
44,1,9003,1,39,160.0,160.0,0,0,0,19,1,0,15.5,2.8,-4.06
1,1,9773,1,1,152.0,139.1,0,0,0,19,1,0,16.2,0.3,-0.92
1,2,9670,1,1,144.0,126.9,0,0,0,21,1,0,9.4,-0.8,-3.12
39,1,9500,1,3,133.8,184.0,0,0,0,28,0,0,15.5,2.8,-4.06
1,1,9238,1,1,125.0,125.0,1,0,0,19,1,0,10.8,1.4,1.74
1,1,9147,1,1,150.0,138.5,0,0,0,18,1,0,12.4,0.5,1.79
17,5,9500,1,1,143.0,133.5,1,0,0,18,1,0,12.7,3.7,-1.7
1,3,9500,1,1,145.0,141.5,1,0,0,18,1,0,9.4,-0.8,-3.12
42,1,9500,1,1,120.0,130.0,1,0,0,22,0,0,12.7,3.7,-1.7
1,1,9147,1,1,138.0,131.0,1,0,0,19,0,0,12.4,0.5,1.79
1,1,9500,1,1,145.0,145.0,0,0,0,18,1,0,13.9,-0.3,0.79
17,1,9254,1,1,122.0,114.3,0,0,0,20,0,0,15.5,2.8,-4.06
44,1,171,1,39,110.0,108.3,0,0,0,26,0,0,12.4,0.5,1.79
1,3,9070,1,1,136.0,125.2,1,0,0,18,1,0,10.8,1.4,1.74
1,1,9254,1,1,145.0,131.7,1,0,0,21,1,0,10.8,1.4,1.74
17,4,9500,1,1,141.0,126.3,1,0,0,18,0,0,10.8,1.4,1.74
1,1,9085,1,1,149.0,147.6,1,0,0,20,0,0,15.5,2.8,-4.06
1,6,9500,1,1,130.0,125.1,1,0,0,18,0,0,15.5,2.8,-4.06
17,6,9147,1,1,121.0,123.8,0,0,0,19,1,0,12.7,3.7,-1.7
1,1,9670,1,1,128.0,130.8,1,0,0,20,0,0,7.6,2.6,0.32
1,1,9853,1,1,152.0,154.1,0,0,0,18,1,0,12.7,3.7,-1.7
16,2,9147,1,1,132.0,122.6,1,0,0,20,1,0,10.8,1.4,1.74
1,2,8014,0,1,107.0,103.5,1,0,0,22,0,0,7.6,2.6,0.32
1,1,171,1,1,131.0,132.8,1,0,0,18,0,0,7.6,2.6,0.32
51,1,9991,0,1,141.0,100.0,0,0,0,21,0,0,8.9,1.4,3.51
18,2,9853,1,1,120.0,115.8,0,0,0,18,0,0,13.9,-0.3,0.79
1,1,9500,1,1,148.0,133.8,0,0,0,18,0,0,12.7,3.7,-1.7
1,1,9070,1,1,130.0,118.5,0,1,0,18,1,0,8.9,1.4,3.51
17,1,171,1,1,145.0,150.3,1,0,0,19,0,0,15.5,2.8,-4.06
17,3,9147,1,1,112.0,107.8,1,0,0,19,0,0,10.8,1.4,1.74
1,1,9500,1,1,138.0,127.5,1,0,0,19,0,0,16.2,0.3,-0.92
1,3,9500,1,1,135.0,120.5,1,0,0,19,0,0,10.8,1.4,1.74
1,1,9147,1,1,118.0,117.3,1,0,0,19,0,0,8.9,1.4,3.51
17,1,9254,1,1,123.0,120.6,1,0,0,19,0,0,10.8,1.4,1.74
16,4,9254,1,1,126.0,118.7,1,0,0,21,1,0,8.9,1.4,3.51
1,2,9773,1,1,150.0,130.8,0,0,0,20,1,1,15.5,2.8,-4.06
1,1,9147,1,1,121.0,112.6,1,0,0,20,1,0,11.1,0.6,2.02
39,1,9991,0,19,133.1,117.2,0,0,0,41,0,0,7.6,2.6,0.32
7,1,9500,1,40,130.0,130.0,1,0,0,32,0,0,12.4,0.5,1.79
17,3,9500,1,1,139.0,131.8,1,0,0,18,0,0,10.8,1.4,1.74
39,1,8014,0,1,160.0,97.0,0,0,0,35,1,0,15.5,2.8,-4.06
39,1,9500,1,1,110.0,130.0,0,0,0,32,0,0,16.2,0.3,-0.92
39,1,8014,0,40,140.0,148.0,0,0,0,37,0,0,12.4,0.5,1.79
39,2,9147,1,3,130.0,103.4,0,0,0,30,0,0,12.7,3.7,-1.7
43,2,9773,1,1,132.0,127.1,0,0,1,23,0,0,7.6,2.6,0.32
17,2,9773,1,1,139.0,124.0,1,0,0,20,1,0,15.5,2.8,-4.06
1,1,9670,1,1,135.0,121.4,0,0,1,21,0,0,9.4,-0.8,-3.12
1,1,9147,1,1,117.0,118.1,0,0,1,19,0,0,12.4,0.5,1.79
17,4,9500,1,1,137.0,121.3,1,0,1,18,1,0,10.8,1.4,1.74
42,1,9119,1,1,144.0,119.5,0,0,1,18,0,0,10.8,1.4,1.74
39,1,9991,0,1,130.0,115.2,0,0,1,24,0,0,12.4,0.5,1.79
18,1,9670,1,1,140.0,130.2,1,0,1,22,0,0,12.7,3.7,-1.7
17,4,9254,1,1,130.0,130.0,1,0,1,18,0,0,16.2,0.3,-0.92
16,2,9238,1,1,130.0,126.9,1,0,0,18,0,0,9.4,-0.8,-3.12
1,2,9070,1,1,152.0,168.5,1,0,1,21,0,1,16.2,0.3,-0.92
39,1,9500,1,1,133.1,130.0,0,0,0,38,0,0,16.2,0.3,-0.92
18,1,9556,1,1,140.0,122.8,0,0,0,19,1,0,12.7,3.7,-1.7
39,1,9500,1,1,133.1,110.0,0,0,0,36,0,0,16.2,0.3,-0.92
16,1,9085,1,1,140.0,127.1,1,0,0,18,0,0,12.7,3.7,-1.7
1,3,9500,1,1,133.1,108.5,1,0,0,19,0,0,12.4,0.5,1.79
53,1,9085,1,42,140.0,138.2,0,0,0,21,0,0,8.9,1.4,3.51
1,2,9500,1,1,133.1,96.0,1,0,0,19,0,0,11.1,0.6,2.02
1,1,9238,1,1,135.0,124.5,0,0,0,18,1,0,16.2,0.3,-0.92
7,1,9500,1,3,120.0,120.0,1,0,0,45,0,0,13.9,-0.3,0.79
17,1,9147,1,1,140.0,132.3,1,0,0,20,0,0,7.6,2.6,0.32
17,1,9254,1,1,128.0,120.7,1,0,0,18,0,0,13.9,-0.3,0.79
1,1,9670,1,1,141.0,132.6,0,0,0,18,1,0,11.1,0.6,2.02
7,2,9130,1,3,140.0,140.0,0,0,0,25,0,0,10.8,1.4,1.74
1,6,9500,1,1,139.0,124.5,1,0,0,19,0,0,10.8,1.4,1.74
1,1,171,1,1,142.0,142.0,1,0,0,18,1,0,13.9,-0.3,0.79
7,1,9254,1,40,130.0,130.0,0,0,0,39,0,0,13.9,-0.3,0.79
39,1,9003,1,1,130.0,144.0,0,0,0,29,0,0,15.5,2.8,-4.06
17,1,9853,1,1,125.0,128.5,1,0,0,18,0,0,13.9,-0.3,0.79
7,1,9070,1,3,140.0,140.0,0,0,0,23,0,0,10.8,1.4,1.74
42,1,9853,1,1,120.0,113.9,1,0,0,21,0,0,12.7,3.7,-1.7
1,1,9238,1,1,147.0,137.2,0,0,0,18,0,0,10.8,1.4,1.74
7,1,9085,1,40,140.0,140.0,1,0,0,23,0,0,12.4,0.5,1.79
1,1,9130,1,1,161.0,152.3,0,0,0,18,0,0,11.1,0.6,2.02
39,1,8014,0,19,133.1,112.5,0,0,0,32,0,0,9.4,-0.8,-3.12
39,2,9147,1,1,150.0,101.0,0,0,0,29,0,0,10.8,1.4,1.74
1,6,9238,1,1,113.0,112.3,1,0,0,20,1,0,8.9,1.4,3.51
39,1,9238,1,1,140.0,114.0,1,0,0,28,0,0,9.4,-0.8,-3.12
7,1,9147,1,3,130.0,130.0,0,0,0,27,0,0,10.8,1.4,1.74
43,2,9500,1,1,120.0,121.5,0,0,0,22,0,0,7.6,2.6,0.32
39,1,9003,1,19,133.1,120.0,0,0,0,37,0,0,16.2,0.3,-0.92
7,1,8014,0,3,130.0,130.0,0,0,0,28,0,0,12.7,3.7,-1.7
39,1,9003,1,1,120.0,125.7,0,0,0,43,0,0,8.9,1.4,3.51
43,1,9556,1,1,140.0,128.0,1,0,0,32,0,0,10.8,1.4,1.74
17,1,9238,1,1,123.0,113.2,0,0,0,20,1,0,15.5,2.8,-4.06
39,1,9500,1,19,133.1,120.0,0,0,0,35,1,0,9.4,-0.8,-3.12
1,1,9670,1,1,130.0,117.8,1,0,0,21,0,0,7.6,2.6,0.32
1,4,9500,1,1,126.0,121.3,1,0,0,18,1,0,12.4,0.5,1.79
1,1,9500,1,1,176.0,169.7,0,0,0,18,1,0,16.2,0.3,-0.92
17,4,9238,1,1,124.0,117.7,1,0,0,18,0,0,16.2,0.3,-0.92
44,1,8014,0,39,120.0,121.8,1,0,0,22,0,0,12.4,0.5,1.79
1,2,9500,1,1,140.0,128.3,1,0,0,19,0,0,10.8,1.4,1.74
18,2,9147,1,1,143.0,132.2,1,0,0,18,1,0,13.9,-0.3,0.79
1,2,171,1,1,136.0,134.3,1,0,0,19,0,0,12.4,0.5,1.79
1,1,9500,1,1,132.0,123.4,0,0,0,18,1,0,11.1,0.6,2.02
39,1,9991,0,19,133.1,121.7,0,0,0,31,0,0,16.2,0.3,-0.92
39,1,8014,0,19,100.0,130.0,0,0,0,33,1,0,9.4,-0.8,-3.12
1,3,9500,1,1,137.0,126.5,1,0,0,19,1,0,9.4,-0.8,-3.12
17,1,9238,1,1,153.0,159.7,1,0,0,18,1,0,12.7,3.7,-1.7
1,1,9147,1,1,160.0,151.3,0,0,0,23,0,0,7.6,2.6,0.32
17,1,9238,1,1,145.0,138.0,1,0,0,20,0,0,9.4,-0.8,-3.12
1,5,9500,1,1,137.0,126.5,1,0,0,18,0,0,9.4,-0.8,-3.12
53,1,9085,1,42,140.0,140.0,1,0,0,21,0,0,8.9,1.4,3.51
1,1,9238,1,1,120.0,112.3,0,0,0,22,1,0,12.7,3.7,-1.7
1,1,9238,1,1,122.0,127.3,1,0,0,20,0,0,9.4,-0.8,-3.12
7,1,9500,1,3,130.0,130.0,1,0,0,23,0,0,7.6,2.6,0.32
17,2,9773,1,1,133.1,115.0,1,0,0,19,0,0,16.2,0.3,-0.92
17,6,9500,1,1,150.0,131.5,1,0,0,19,0,0,10.8,1.4,1.74
39,1,9991,0,1,133.1,125.7,0,0,0,26,0,0,10.8,1.4,1.74
1,6,9500,1,1,141.0,126.8,1,0,0,18,0,0,16.2,0.3,-0.92
18,1,9119,1,1,146.0,132.4,1,0,1,18,0,0,9.4,-0.8,-3.12
44,1,9003,1,39,150.0,150.0,1,0,1,20,0,0,16.2,0.3,-0.92
1,1,9670,1,1,133.1,95.0,0,0,1,19,0,0,15.5,2.8,-4.06
43,1,9991,0,1,120.0,128.2,0,0,1,32,0,0,10.8,1.4,1.74
39,1,9130,1,1,150.0,130.0,0,0,1,31,0,0,9.4,-0.8,-3.12
39,1,9119,1,19,133.1,100.0,0,0,1,25,0,0,13.9,-0.3,0.79
42,1,9085,1,39,140.0,159.9,1,0,0,21,0,0,16.2,0.3,-0.92
43,1,9991,0,1,140.0,100.0,0,0,0,31,0,0,12.7,3.7,-1.7
39,1,9853,1,1,133.1,116.5,0,0,0,34,0,0,16.2,0.3,-0.92
1,1,9238,1,1,128.0,120.0,0,0,0,18,1,0,11.1,0.6,2.02
1,3,9238,1,1,117.0,117.0,1,0,0,19,0,0,12.4,0.5,1.79
53,1,9670,1,42,140.0,140.0,1,0,0,21,0,0,8.9,1.4,3.51
1,2,9853,1,1,124.0,118.1,1,0,0,18,0,0,9.4,-0.8,-3.12
1,1,9254,1,1,158.0,153.5,1,0,0,20,0,0,11.1,0.6,2.02
43,1,9773,1,1,137.0,127.9,1,0,0,20,0,0,15.5,2.8,-4.06
17,3,9670,1,1,123.0,118.8,1,1,0,18,1,0,11.1,0.6,2.02
1,1,9238,1,1,126.0,126.7,1,0,0,19,0,0,7.6,2.6,0.32
43,1,9085,1,1,170.0,170.0,1,0,0,19,0,0,12.7,3.7,-1.7
39,1,9130,1,1,133.1,110.0,1,0,0,30,1,0,11.1,0.6,2.02
17,1,9238,1,1,115.0,115.0,1,0,0,19,0,0,11.1,0.6,2.02
1,3,9556,1,1,132.0,119.0,1,0,0,19,0,0,12.7,3.7,-1.7
1,4,9500,1,1,132.0,121.8,1,0,0,19,1,0,12.7,3.7,-1.7
1,1,9085,1,1,143.0,133.4,1,0,0,19,0,0,12.4,0.5,1.79
1,3,9238,1,1,137.0,131.4,1,0,0,20,0,0,7.6,2.6,0.32
42,1,9119,1,1,130.0,135.0,0,0,1,25,0,0,13.9,-0.3,0.79
1,2,9773,1,1,121.0,122.8,0,0,1,19,0,0,12.4,0.5,1.79
39,1,9853,1,1,130.0,140.0,0,0,0,34,1,0,9.4,-0.8,-3.12
18,2,9500,1,1,135.0,125.3,1,0,0,18,1,0,12.7,3.7,-1.7
1,6,9500,1,1,137.0,126.3,1,0,0,18,1,0,9.4,-0.8,-3.12
1,1,9670,1,1,100.0,100.0,0,0,0,20,0,0,11.1,0.6,2.02
17,2,9500,1,1,127.0,121.3,1,0,0,20,1,0,10.8,1.4,1.74
53,1,9991,0,1,140.0,135.0,0,0,0,23,0,0,8.9,1.4,3.51
39,1,9670,1,1,140.0,120.0,0,0,0,28,0,0,10.8,1.4,1.74
17,1,9773,1,1,121.0,113.7,0,0,0,18,0,0,15.5,2.8,-4.06
43,1,9147,1,1,131.0,129.7,1,0,0,19,0,0,16.2,0.3,-0.92
1,1,9147,1,1,151.0,132.1,1,0,0,34,0,0,7.6,2.6,0.32
51,1,9853,1,1,130.0,120.3,0,0,0,35,0,0,8.9,1.4,3.51
7,1,9991,0,40,120.0,120.0,0,0,0,32,0,0,12.4,0.5,1.79
17,2,9254,1,1,136.0,123.1,1,0,0,19,0,0,11.1,0.6,2.02
17,5,9670,1,1,125.0,119.4,1,0,0,18,0,0,11.1,0.6,2.02
39,1,9147,1,1,133.1,140.0,0,0,0,35,0,0,9.4,-0.8,-3.12
39,1,8014,0,1,133.1,116.5,0,0,1,24,1,0,12.4,0.5,1.79
17,1,9238,1,1,120.0,113.0,1,0,0,20,1,0,13.9,-0.3,0.79
1,3,9773,1,1,143.0,133.9,1,0,1,18,1,1,16.2,0.3,-0.92
1,3,9500,1,1,133.1,115.5,1,0,1,20,1,0,10.8,1.4,1.74
17,5,9254,1,1,121.0,116.5,1,0,1,18,0,0,9.4,-0.8,-3.12
1,1,9119,1,1,168.0,171.2,0,0,1,18,1,0,12.4,0.5,1.79
1,1,9670,1,1,124.0,119.1,0,0,1,20,1,0,9.4,-0.8,-3.12
17,2,9853,1,1,127.0,121.1,1,0,1,19,0,0,12.4,0.5,1.79
1,2,9070,1,1,129.0,132.9,1,0,1,20,1,0,7.6,2.6,0.32
1,1,9238,1,1,137.0,132.8,0,0,1,19,0,0,10.8,1.4,1.74
1,1,9773,1,1,120.0,126.7,1,0,1,20,0,0,7.6,2.6,0.32
1,1,9500,1,1,110.0,105.8,1,0,1,22,0,0,11.1,0.6,2.02
17,2,9119,1,1,120.0,117.2,0,0,1,18,1,0,11.1,0.6,2.02
1,1,9500,1,1,143.0,140.0,0,0,1,19,0,0,12.7,3.7,-1.7
44,1,9003,1,39,120.0,120.0,0,0,1,22,0,0,13.9,-0.3,0.79
17,5,9119,1,1,124.0,119.5,1,0,1,20,0,1,8.9,1.4,3.51
39,1,9003,1,1,168.0,153.9,0,0,1,34,0,0,12.4,0.5,1.79
39,1,8014,0,19,133.1,130.0,0,0,1,24,0,0,16.2,0.3,-0.92
39,2,9670,1,1,150.0,107.0,1,0,1,26,0,0,7.6,2.6,0.32
39,1,9500,1,1,140.0,132.8,0,0,1,35,0,0,12.4,0.5,1.79
1,1,9991,0,1,145.0,127.5,1,0,1,22,0,0,7.6,2.6,0.32
18,1,9254,1,1,118.0,123.3,1,0,1,26,0,0,9.4,-0.8,-3.12
17,1,9147,1,1,123.0,122.0,0,0,1,19,0,0,8.9,1.4,3.51
1,5,9254,1,1,120.0,114.8,1,0,1,19,0,0,8.9,1.4,3.51
44,1,171,1,39,140.0,140.0,0,0,1,20,0,0,15.5,2.8,-4.06
51,1,9670,1,1,126.0,111.0,0,0,1,21,0,0,11.1,0.6,2.02
1,2,9773,1,1,137.0,133.2,1,0,0,19,1,0,13.9,-0.3,0.79
1,3,9773,1,1,130.0,123.0,1,0,0,18,0,0,12.7,3.7,-1.7
53,1,9003,1,42,150.0,150.0,0,0,0,23,1,0,8.9,1.4,3.51
17,3,9147,1,1,147.0,132.3,1,0,0,18,1,0,12.7,3.7,-1.7
18,1,9500,1,1,140.0,126.0,1,0,0,18,0,0,12.7,3.7,-1.7
1,3,9500,1,1,132.0,119.3,1,0,0,19,0,0,10.8,1.4,1.74
53,1,9147,1,42,130.0,133.8,1,0,0,21,0,0,8.9,1.4,3.51
1,1,9085,1,1,130.0,126.5,1,0,0,18,1,0,15.5,2.8,-4.06
1,1,9773,1,1,151.0,138.4,1,0,0,24,1,0,10.8,1.4,1.74
1,4,9500,1,1,144.0,129.0,1,0,0,18,0,0,16.2,0.3,-0.92
1,1,9670,1,1,127.0,118.3,1,0,0,18,0,0,13.9,-0.3,0.79
17,2,9500,1,1,131.0,129.8,1,0,0,20,0,0,12.4,0.5,1.79
17,2,9085,1,1,123.0,113.6,1,0,0,19,0,0,9.4,-0.8,-3.12
1,5,9773,1,1,130.0,128.3,1,0,0,18,1,0,7.6,2.6,0.32
43,1,9254,1,1,130.0,130.0,0,0,0,19,1,0,10.8,1.4,1.74
17,2,9853,1,1,131.0,121.9,1,0,0,19,0,0,10.8,1.4,1.74
1,5,9238,1,3,135.0,129.4,0,0,0,18,0,0,10.8,1.4,1.74
1,2,9853,1,1,123.0,115.3,1,0,0,20,0,0,11.1,0.6,2.02
1,5,9500,1,1,145.0,125.5,1,0,0,18,1,0,9.4,-0.8,-3.12
17,6,9556,1,1,118.0,117.8,1,0,0,19,1,0,11.1,0.6,2.02
17,3,9147,1,1,125.0,118.7,1,0,0,18,0,0,13.9,-0.3,0.79
1,2,9500,1,1,152.0,139.0,1,0,0,18,0,0,7.6,2.6,0.32
1,1,9085,1,1,101.0,98.9,1,0,0,21,0,0,11.1,0.6,2.02
17,1,9254,1,1,137.0,137.7,1,0,0,19,0,0,7.6,2.6,0.32
1,4,9500,1,1,123.0,113.6,1,0,0,21,0,0,12.4,0.5,1.79
1,1,9085,1,1,120.0,113.4,0,0,0,18,0,0,11.1,0.6,2.02
17,3,9556,1,1,131.0,128.5,0,0,0,18,1,0,12.7,3.7,-1.7
1,1,9500,1,1,141.0,142.8,0,0,0,18,0,0,11.1,0.6,2.02
1,1,9130,1,1,144.0,137.7,0,0,0,23,0,0,10.8,1.4,1.74
1,1,9238,1,1,107.0,103.5,1,0,0,20,0,0,16.2,0.3,-0.92
1,1,9500,1,1,133.0,123.2,0,0,0,18,0,0,16.2,0.3,-0.92
17,2,9853,1,1,126.0,126.0,1,0,0,19,0,0,7.6,2.6,0.32
39,1,9500,1,1,133.1,121.7,0,0,0,27,1,0,12.4,0.5,1.79
17,1,9147,1,1,147.0,142.8,1,0,0,19,1,0,11.1,0.6,2.02
43,1,9130,1,1,120.0,120.0,1,0,0,21,0,0,15.5,2.8,-4.06
18,1,9500,1,1,130.0,119.3,1,0,0,19,1,0,10.8,1.4,1.74
44,1,9238,1,1,120.0,121.0,0,0,0,21,1,0,13.9,-0.3,0.79
1,5,9773,1,1,138.0,139.4,1,0,0,18,0,0,10.8,1.4,1.74
17,1,9085,1,1,124.0,113.9,1,0,0,20,1,0,12.7,3.7,-1.7
1,1,9853,1,1,133.0,124.6,1,0,0,18,1,0,9.4,-0.8,-3.12
17,1,9070,1,1,122.0,123.8,1,0,0,18,1,0,12.7,3.7,-1.7
1,3,9085,1,1,138.0,126.3,1,0,0,18,0,0,8.9,1.4,3.51
17,4,9773,1,1,134.0,120.4,1,0,0,18,1,0,16.2,0.3,-0.92
1,3,9500,1,1,128.0,120.5,1,0,0,19,1,0,12.4,0.5,1.79
53,1,9085,1,42,140.0,144.9,1,0,0,23,0,0,8.9,1.4,3.51
39,1,9085,1,19,133.1,139.9,1,0,0,24,1,0,8.9,1.4,3.51
1,1,171,1,1,142.0,133.3,1,0,0,19,0,0,10.8,1.4,1.74
1,3,9500,1,1,141.0,126.0,1,0,0,18,0,0,12.7,3.7,-1.7
1,2,9070,1,1,145.0,133.5,0,0,0,19,0,0,12.7,3.7,-1.7
17,2,9853,1,1,145.0,127.9,1,0,0,19,0,0,10.8,1.4,1.74
1,1,9238,1,1,108.0,105.9,0,0,0,20,1,0,11.1,0.6,2.02
1,1,9085,1,1,132.0,124.3,0,0,0,20,0,0,13.9,-0.3,0.79
39,1,9773,1,1,140.0,102.5,0,0,0,26,0,0,7.6,2.6,0.32
39,1,9254,1,19,133.1,97.0,0,0,1,36,0,0,15.5,2.8,-4.06
17,1,171,1,1,128.0,134.7,0,0,1,19,0,0,10.8,1.4,1.74
42,1,9119,1,1,120.0,113.8,0,0,1,27,0,0,15.5,2.8,-4.06
1,4,9119,1,1,120.0,116.9,0,0,1,18,0,0,8.9,1.4,3.51
1,4,9500,1,1,139.0,124.0,1,0,1,18,1,0,10.8,1.4,1.74
39,1,9070,1,1,139.3,117.5,0,0,1,28,0,0,12.4,0.5,1.79
44,1,171,1,39,150.0,154.8,1,0,1,21,0,0,12.4,0.5,1.79
1,1,9500,1,1,138.0,141.0,0,0,1,19,0,0,7.6,2.6,0.32
39,1,9670,1,9,133.1,120.0,0,0,1,26,0,0,9.4,-0.8,-3.12
51,1,9119,1,1,136.0,133.6,1,0,1,20,0,0,11.1,0.6,2.02
1,6,9500,1,1,134.0,122.0,1,0,1,19,0,0,12.7,3.7,-1.7
1,1,9147,1,1,140.0,120.0,1,0,1,21,0,0,12.7,3.7,-1.7
53,1,9670,1,42,110.0,114.2,0,0,1,23,1,0,8.9,1.4,3.51
39,1,8014,0,38,133.1,95.5,0,0,1,29,0,0,11.1,0.6,2.02
1,1,9500,1,1,129.0,120.0,0,0,1,20,0,0,12.7,3.7,-1.7
1,1,9238,1,1,116.0,111.1,0,0,1,18,0,0,15.5,2.8,-4.06
1,1,9773,1,1,130.0,128.6,1,0,1,19,0,0,9.4,-0.8,-3.12
7,1,9556,1,3,130.0,130.0,0,0,1,23,0,0,10.8,1.4,1.74
1,1,171,1,1,116.0,111.1,0,0,1,21,0,0,13.9,-0.3,0.79
17,1,9147,1,1,136.0,122.7,1,0,1,18,0,0,15.5,2.8,-4.06
1,1,171,1,1,147.0,134.4,1,0,1,18,1,0,10.8,1.4,1.74
1,5,9070,1,1,117.0,131.0,1,0,1,21,0,0,9.4,-0.8,-3.12
51,1,9238,1,1,141.0,125.0,0,0,1,22,0,0,11.1,0.6,2.02
